cat_core_1,cat_core_2,core_1,core_2,noise_1,noise_2,target
1.0,0.0,0.4259774888516723,0.6268630969120055,0.3684654498762081,0.3458376529280023,1.0
1.0,0.0,0.3593206236906748,0.6034296502247368,0.42782211498321454,0.12392676591258778,1.0
1.0,0.0,0.28406156072096916,0.7709291029226267,0.4959062952990676,0.4551558768046723,1.0
1.0,0.0,0.5630721020915884,0.663183786535803,0.442564977172989,0.11843996136051649,1.0
1.0,0.0,0.43928373695415285,0.7779050898162746,0.06369037340468131,0.36202157086573244,1.0
0.0,1.0,0.25156447874692195,0.656650244755996,0.4710014534206032,0.39944038155263256,1.0
1.0,0.0,0.4112317784358998,0.8387269066992333,0.5695487189120011,0.2508876451618782,1.0
1.0,0.0,0.3435635704913549,0.6699108244199372,0.4379474001843727,0.8603652401947981,1.0
1.0,0.0,0.4920481041274051,0.6455354244267577,0.38882000006676437,0.48640857648113056,1.0
1.0,0.0,0.4048194292098021,0.4527343372709379,0.2814705805821749,0.7832081973457485,1.0
0.0,1.0,0.26311687746991924,0.5147083991676367,0.8014121528581339,0.7916255805302785,1.0
1.0,0.0,0.2956518618870743,0.7261772205362518,0.4057656166121643,0.5069621002340828,1.0
1.0,0.0,0.3079054786024549,0.5785733143792655,0.7030628966247604,0.7969185566054229,1.0
1.0,0.0,0.3239479117512152,0.487304660985361,0.40748154539949927,0.6955624330013344,1.0
1.0,0.0,0.3962645792251797,0.6500145597643037,0.533991264173969,0.5756568126489134,1.0
1.0,0.0,0.3497834412331877,0.7080173618032337,0.793882267581642,0.9867668043205793,1.0
1.0,0.0,0.3375638425089277,0.7437359995706534,0.47560752096458103,0.864735431434754,1.0
0.0,1.0,0.5035983143861361,0.7884751183397848,0.7621773705401689,0.17039913796328787,1.0
1.0,0.0,0.4795607861889601,0.68236725037387,0.09048866619858686,0.33450870089407003,1.0
1.0,0.0,0.4675258256527258,0.7511710626167378,0.8577887909976779,0.7078597843140045,1.0
