ft_1,ft_2,ft_3,ft_4,ft_5,ft_6,ft_7,ft_8,ft_9,ft_10,ft_11,ft_12,ft_13,ft_14,ft_15,ft_16,ft_17,ft_18,ft_19,ft_20,target
0.3257607252536216,0.4726928519449376,0.3854095363089039,0.3128837447510319,0.27123634572842986,0.2077619522037185,0.6207677242810962,0.08303218862141565,0.3806205271577118,0.38533030325921835,0.6612851037315135,0.6076234960482856,0.3699145247093325,0.6622769922573131,0.26699409153706155,0.3274997896113224,0.5324322595123256,0.39443712118379215,0.3400027236711004,0.42991756001608655,0.0
0.3913223839683651,0.43952630359460965,0.399562985543701,0.39465012220567175,0.29230918252147653,0.42591057101044477,0.4055433893323748,0.7673367674103411,0.3963630478954739,0.3735390138588027,0.434264109610789,0.4815654897502841,0.24453070927737247,0.23873205813407278,0.3371010303057277,0.6240102097697647,0.30125705770914024,0.38897314134985456,0.5634972415016876,0.5707380676005502,1.0
0.381487919960626,0.7232138922255267,0.2722715405420497,0.4151799702315449,0.2838294346712119,0.4287756349653251,0.35913291204544656,0.3947030402781698,0.17012824463496043,0.2642081885898454,0.3400615325067716,0.4368330238587771,0.35729300579670775,0.505397974577457,0.31158888585000305,0.6517144897581513,0.4893183978689449,0.4982700897239497,0.4496995195214075,0.5317996710768893,0.0
0.30639926386366845,0.19855922084830901,0.36076914238578284,0.3010994490457447,0.8015824240468543,0.20752134579074655,0.34899024202545065,0.24006534108578992,0.3179283586659631,0.13467166136600087,0.5382232651771209,0.613235310059987,0.373321810009573,0.4943100931847688,0.4368469303714328,0.3727602307021215,0.6718128429598722,0.5062654734276247,0.5346907567440086,0.5092329748207226,1.0
0.2986583081207204,0.2860869844320344,0.3017249961053863,0.4604783552529257,0.5155152008322205,0.2647694949349056,0.37552636455196914,0.2970234918590035,0.2713255229526808,0.711050287645016,0.5068321727431155,0.4846217705762911,0.4050228237864464,0.3552440281108868,0.3307618133451409,0.5022908283730452,0.42399678374812955,0.3933479273317246,0.25582712490281956,0.47740725078164387,0.0
0.27321817882964466,0.2533700202355743,0.2858833498480241,0.30604183374858346,0.3031594843591721,0.7255656360268659,0.3209042033569533,0.4813228288815614,0.28899251096239376,0.502662599843545,0.5645201048049914,0.2804078705388724,0.5124408855538105,0.3955889042488245,0.4683638267144817,0.3556158839355519,0.41208116997144273,0.5655844230415368,0.6952799010504537,0.334995847514773,0.0
0.1165117234422923,0.2750622001029618,0.31569544951259426,0.34951137865973547,0.38554131736460184,0.4095710442410523,0.40583503065676535,0.9605384603367472,0.36986853756462473,0.24372094455569435,0.6490877290010995,0.37887562908231387,0.5741609583104003,0.07820310920842322,0.5117328445307131,0.5631968774746168,0.5119288700380653,0.32396788844359614,0.45305665955133556,0.35079227867401214,1.0
0.3959013556987053,0.2958852117517882,0.8639326397588459,0.31346204504087666,0.2682246331434394,0.36153825336076606,0.3238145589098886,0.3762192664609617,0.4517500661008096,0.2624462941497171,0.2831000238595204,0.6453759253430718,0.4317162838210393,0.39881959003778483,0.48871137672991566,0.597548417159304,0.37461954530781627,0.4853738257811367,0.49554886211663723,0.5769415865786662,0.0
0.34983995015539693,0.3771876240541672,0.40158676483368333,0.37943566746922,0.6284375016385906,0.3656040896791288,0.366671692675681,0.22164738841182963,0.2831447835206689,0.2796020971757053,0.6976111949910513,0.6339621545880217,0.5033922802613904,0.32931594344515625,0.40232434958338964,0.5087103566196456,0.24758737849213483,0.27917259233098973,0.42325100087362766,0.5255598090047037,1.0
0.3908894243395915,0.2880332584229707,0.3165987373179772,0.34881136128447604,0.17084041216838794,0.299738625264667,0.4176924900804095,0.573419264292442,0.3268897135178945,0.4145016647337949,0.7092128311103958,0.5986528302271156,0.4831567942552091,0.5472188984154925,0.45768079467706885,0.3887331114353838,0.5659114999940046,0.4993045691461417,0.3755053624473023,0.345684774014507,0.0
