cat_core_1,cat_core_2,cat_core_3,core_1,core_2,noise_1,noise_2,target
1.0,0.0,0.0,-1.7984527313624006,1.5400030097342248,3.1038153900904595,0.748229039894448,1.0
1.0,0.0,0.0,-3.7389905297765793,2.2117403195303758,-1.5517086309472443,-3.73403914799146,1.0
1.0,0.0,0.0,-0.2196163839969898,2.7903596756126383,-3.2707595668387617,1.2616506098233922,1.0
1.0,0.0,0.0,-2.7375430641787566,1.7399727096021973,1.5109643217235096,0.3190973441101166,1.0
0.0,1.0,0.0,-1.3560455210871551,1.324046391979167,-2.6146749674259393,-3.641381868094107,1.0
0.0,0.0,1.0,-3.4196673600426415,1.5146146051103064,-2.5597073959857672,0.1978916168664,1.0
1.0,0.0,0.0,-2.4727252281088323,1.7029750402607389,-3.4007141684423043,3.7227133176237572,1.0
0.0,0.0,1.0,-0.18299327620436112,0.300639799379,-3.563980402954046,1.503505095410408,1.0
1.0,0.0,0.0,-0.9401442579982493,2.1822062390039636,3.1969875746216285,3.715161941638036,1.0
1.0,0.0,0.0,-0.741807000930472,2.2043401256152046,1.9088634317739848,3.4257493113176087,1.0
1.0,0.0,0.0,-1.8307857113130417,1.7706818841787237,-0.9154414568039595,-0.6688998102289112,1.0
1.0,0.0,0.0,-3.8953650173203656,1.5706345910424255,-1.7495306366574699,1.6198221366252694,1.0
1.0,0.0,0.0,-2.1756630486575697,1.691699574442,1.1852943879462714,3.154298065236474,1.0
0.0,0.0,1.0,-2.278899833220078,2.722858811131306,-2.430081797006488,-2.4847304789751536,1.0
0.0,1.0,0.0,-0.47580460846814265,3.2976494713514652,-0.06529618145038718,-2.788447263876207,1.0
0.0,0.0,1.0,-0.7972571759486242,1.187775399676387,-2.6496533696258924,-3.867694158845648,1.0
0.0,0.0,1.0,-2.7487561692637468,3.014597626026605,3.814181505724391,3.1228885718724113,1.0
1.0,0.0,0.0,-1.2411301723936499,0.2333208267874669,-0.03856771873592013,-3.498514005225198,1.0
0.0,0.0,1.0,-5.156708628659507,3.0256753867829147,-3.000919277297542,-1.3471831217942745,1.0
0.0,0.0,1.0,-1.519752443348111,0.7472528356984436,1.6996802648907048,0.5627870593406508,1.0
0.0,0.0,1.0,-0.34581028816625103,1.5546742567599,2.686657647132945,-0.7055341669443127,1.0
1.0,0.0,0.0,-0.5359611794146608,0.5342982711821305,0.99601450451184,3.672887023385874,1.0
1.0,0.0,0.0,-1.6137449851096533,0.50324260843624,-3.120680914838526,-0.368289973313658,1.0
0.0,0.0,1.0,-4.034163268057539,1.6008921971878745,-2.5593704387427056,-1.0294518637211798,1.0
0.0,0.0,1.0,-2.037011277812792,0.7871252984537254,3.994547324355133,-1.4636510218084613,1.0
1.0,0.0,0.0,-0.8790380737676544,2.6556635892846527,0.950227393641037,-1.3641876803734254,1.0
1.0,0.0,0.0,-2.376991828083004,2.0205081911541516,-0.8805402142788266,-2.9208184042375933,1.0
1.0,0.0,0.0,-1.1814858579952547,1.5404333826558916,-2.077535325954279,-3.562248469700191,1.0
0.0,0.0,1.0,-1.1505871161779897,0.8027964100767295,-3.6917948386470396,-2.9633300057232876,1.0
1.0,0.0,0.0,-5.8288577823773675,1.4890410092836304,-1.3959000057895459,2.7925483852137907,1.0
0.0,0.0,1.0,-3.8099976245335254,2.861496063759954,-1.089383312718903,1.401986292198357,1.0
1.0,0.0,0.0,-1.3479810339490157,2.9568178929596836,-0.46750837672918255,-0.8963582338486598,1.0
0.0,1.0,0.0,-1.3449813165235764,1.808454489875421,3.018155116652725,-2.778242023013811,1.0
1.0,0.0,0.0,-3.036834382883108,3.0549051239502383,-1.3447746646367973,3.374669823005407,1.0
1.0,0.0,0.0,-2.601478873440548,1.7281050462820033,3.031568593125786,0.19721688416197125,1.0
1.0,0.0,0.0,-1.1958318577038187,2.49662652003852,2.2360180109379897,-3.2369837929191485,1.0
1.0,0.0,0.0,-2.465313176997987,0.7161140392284189,-3.909688387703511,-1.5530416083951888,1.0
1.0,0.0,0.0,-0.7463248237211215,1.3138790418571364,2.1698492834347327,2.2803224389221617,1.0
0.0,0.0,1.0,-3.120196631810384,2.7100938164108586,2.2446570955910206,2.9405970778271673,1.0
1.0,0.0,0.0,-2.009530992760901,1.7505821572940676,-1.1391859869406025,1.74764684216722,1.0
1.0,0.0,0.0,-2.7802489932587404,-0.3905930578709049,-3.668004324413449,3.9758366627061745,1.0
1.0,0.0,0.0,-2.188503910246986,3.799861869422409,-3.057785623620769,-1.2322219408597572,1.0
0.0,1.0,0.0,-2.3028975924345985,2.358750300208991,-3.1175030700166078,-3.8406073767063704,1.0
1.0,0.0,0.0,-2.996296501461377,0.20864622915018138,1.0596972583139568,3.405627062608472,1.0
0.0,1.0,0.0,0.2683512562385788,0.054958230349579695,2.392038169725473,2.600230123210169,1.0
1.0,0.0,0.0,-2.108646799921056,2.1983056658481104,-2.9027601782635744,1.0851541639267985,1.0
1.0,0.0,0.0,1.6118051078314477,1.3209187280601116,1.1460334177223128,3.6841977006065054,1.0
1.0,0.0,0.0,-1.2327387246906967,0.43839656258247994,-2.050223158492944,-0.8071431949739436,1.0
1.0,0.0,0.0,-3.3080877380446414,2.4607322537228704,-0.6769449369020872,-3.6277564812744583,1.0
1.0,0.0,0.0,-4.018902744640418,0.8164597455247884,3.075848506008321,-0.4756595067521756,1.0
1.0,0.0,0.0,-4.332642231301978,0.4588381257315055,2.2139918912416654,-1.7681317358675734,1.0
0.0,0.0,1.0,-2.7158443301560866,2.282745322771663,2.1091135131845915,0.4463988830916712,1.0
1.0,0.0,0.0,-1.2499457065348532,2.013963763738823,0.3659580071859043,-1.1729371052288462,1.0
1.0,0.0,0.0,-1.856244695114723,2.201239576289152,-1.4659998732842663,-0.9939524482465814,1.0
