data_size	texp_times	sh_exp_times	sh_kernel_times	sh_exact_times
10.0	2.4356372356414795	0.6515359878540039	3.666912794113159	25.913288
20.0	2.631883382797241	1.3952839374542236	10.859992265701294	101.078287
30.0	4.540544748306274	1.9205148220062256	24.525849103927612	228.507571
40.0	5.118886709213257	3.0989532470703125	44.58641719818115	382.536178
50.0	6.653991937637329	4.030325651168823	68.60360550880432	573.479017
60.0	7.452665090560913	10.747105121612549	101.70869779586792	788.236435
70.0	8.056758880615234	6.527126789093018	128.000723361969	1041.5218
80.0	9.834676504135132	11.090363025665283	156.38006258010864	1322.22372
90.0	10.506707906723022	13.026759624481201	191.5146460533142	1463.034176
100.0	13.679436922073364	16.45185375213623	232.61554217338562	1838.680251
